Cambios Morfológicos Detectados
==================================================

parts                → part
lighted              → light
saw                  → see
equalled             → equal
gnashes              → gnash
teeth                → tooth
woes                 → woe
oppresses            → oppress
recovered            → recover
men                  → man
wished               → wish
questions            → question
tormented            → torment
depended             → depend
asked                → ask
assumed              → assume
deepest              → deep
replied              → reply
fled                 → flee
pursued              → pursue
seen                 → see
picked               → pick
saw                  → see
dogs                 → dog
drawing              → draw
aroused              → arouse
asked                → ask
questions            → question
concerning           → concern
called               → call
pursued              → pursue
said                 → say
excited              → excite
inquiries            → inquiry
rescued              → rescue
restored             → restore
inquired             → inquire
thought              → think
destroyed            → destroy
replied              → reply
broken               → break
arrived              → arrive
animated             → animate
decaying             → decay
manifested           → manifest
greatest             → great
appeared             → appear
persuaded            → persuade
promised             → promise
relates              → relate
improved             → improve
appears              → appear
enters               → enter
manners              → manner
conciliating         → conciliate
sailors              → sailor
fills                → fill
better               → well
days                 → day
said                 → say
letters              → letter
found                → find
broken               → break
possessed            → possess
concerning           → concern
intervals            → interval
incidents            → incident
increases            → increase
excites              → excite
destroyed            → destroy
feeling              → feel
cultivated           → cultivate
speaks               → speak
words                → word
culled               → cull
choicest             → choice
recovered            → recover
watching             → watch
preceded             → precede
occupied             → occupy
interests            → interest
projects             → project
conversed            → converse
communicated         → communicate
entered              → enter
arguments            → argument
measures             → measure
taken                → take
led                  → lead
evinced              → evince
warmed               → warm
sought               → seek
foes                 → foe
spoke                → speak
perceived            → perceive
tried                → try
placed               → place
hands                → hand
eyes                 → eye
quivered             → quiver
failed               → fail
tears                → tear
fingers              → finger
paused               → pause
spoke                → speak
accents              → accent
lips                 → lip
words                → word
excited              → excite
seized               → seize
overcame             → overcome
weakened             → weaken
powers               → power
hours                → hour
conquered            → conquer
feelings             → feeling
appeared             → appear
quelling             → quell
led                  → lead
concerning           → concern
asked                → ask
earlier              → early
years                → year
told                 → tell
awakened             → awaken
trains               → train
spoke                → speak
finding              → find
fallen               → fall
expressed            → express
replied              → reply
creatures            → creature
better               → well
natures              → nature
creatures            → creature
entitled             → entitle
respecting           → respect
lost                 → lose
said                 → say
settled              → settle
touched              → touch
retired              → retire
broken               → break
beauties             → beauty
afforded             → afford
regions              → region
elevating            → elevate
overwhelmed          → overwhelm
disappointments      → disappointment
retired              → retire
ventures             → venture
concerning           → concern
saw                  → see
tutored              → tutor
refined              → refine
books                → book
renders              → render
merits               → merit
endeavoured          → endeavour
possesses            → possess
elevates             → elevate
knew                 → know
failing              → fail
causes               → cause
things               → thing
unequalled           → unequalle
intonations          → intonation
subduing             → subdue
said                 → say
suffered             → suffer
misfortunes          → misfortune
determined           → determine
evils                → evil
won                  → win
wishes               → wish
sting                → ste
disasters            → disaster
pursuing             → pursue
exposing             → expose
dangers              → danger
rendered             → render
occurrences          → occurrence
deemed               → deem
tamer                → tame
scenes               → scene
things               → thing
regions              → region
powers               → power
conveys              → convey
events               → event
composed             → compose
offered              → offer
misfortunes          → misfortune
felt                 → feel
greatest             → great
promised             → promise
expressed            → express
feelings             → feeling
replied              → reply
fulfilled            → fulfil
continued            → continue
perceiving           → perceive
wished               → wish
determined           → determine
told                 → tell
drew                 → draw
warmest              → warm
thanks               → thank
resolved             → resolve
occupied             → occupy
duties               → duty
words                → word
related              → relate
engaged              → engage
notes                → note
greatest             → great
lips                 → lip
swells               → swell
ears                 → ear
eyes                 → eye
raised               → raise
lineaments           → lineament
irradiated           → irradiate
embraced             → embrace
wrecked              → wreck
ancestors            → ancestor
years                → year
counsellors          → counsellor
syndics              → syndic
filled               → fill
situations           → situation
respected            → respect
knew                 → know
passed               → pass
younger              → young
days                 → day
occupied             → occupy
affairs              → affair
circumstances        → circumstance
prevented            → prevent
circumstances        → circumstance
relating             → relate
friends              → friend
fell                 → fall
mischances           → mischance
distinguished        → distinguish
paid                 → pay
debts                → debt
retreated            → retreat
lived                → live
loved                → love
truest               → true
grieved              → grieve
circumstances        → circumstance
deplored             → deplore
led                  → lead
united               → unite
lost                 → lose
endeavouring         → endeavour
persuading           → persuade
taken                → take
measures             → measure
months               → month
discovered           → discover
overjoyed            → overjoy
hastened             → hasten
situated             → situate
entered              → enter
welcomed             → welcome
saved                → save
fortunes             → fortune
months               → month
hoped                → hope
spent                → spend
rankling             → rankle
took                 → take
months               → month
lay                  → lie
attended             → attend
greatest             → great
saw                  → see
decreasing           → decrease
possessed            → possess
rose                 → rise
procured             → procure
plaited              → plait
means                → mean
contrived            → contrive
months               → month
passed               → pass
grew                 → grow
worse                → bad
occupied             → occupy
attending            → attend
means                → mean
decreased            → decrease
died                 → die
arms                 → arm
leaving              → leave
overcame             → overcome
knelt                → kneel
weeping              → weep
entered              → enter
came                 → come
protecting           → protect
committed            → commit
conducted            → conduct
placed               → place
years                → year
ages                 → age
parents              → parent
closer               → close
bonds                → bond
rendered             → render
years                → year
suffered             → suffer
discovered           → discover
beloved              → belove
disposed             → dispose
greater              → great
tried                → try
differing            → differ
inspired             → inspire
virtues              → virtue
means                → mean
recompensing         → recompense
sorrows              → sorrow
endured              → endure
gave                 → give
wishes               → wish
sheltered            → shelter
shaken               → shake
gone                 → go
years                → year
elapsed              → elapse
relinquished         → relinquish
functions            → function
sought               → seek
wonders              → wonder
weakened             → weaken
visited              → visit
eldest               → eld
born                 → bear
accompanied          → accompany
rambles              → ramble
remained             → remain
years                → year
attached             → attach
stores               → store
caresses             → caress
recollections        → recollection
better               → well
bestowed             → bestow
hands                → hand
according            → accord
fulfilled            → fulfil
duties               → duty
owed                 → owe
given                → give
added                → add
animated             → animate
imagined             → imagine
received             → receive
guided               → guide
desired              → desire
continued            → continue
years                → year
making               → make
frontiers            → frontier
passed               → pass
shores               → shore
cottages             → cottage
remembering          → remember
suffered             → suffer
relieved             → relieve
afflicted            → afflict
walks                → walk
foldings             → folding
attracted            → attract
clothed              → clothe
children             → child
gathered             → gather
spoke                → speak
worst                → bad
gone                 → go
accompanied          → accompany
visited              → visit
found                → find
bent                 → bend
distributing         → distribute
babes                → babe
attracted            → attract
appeared             → appear
vagrants             → vagrant
brightest            → bright
eyes                 → eye
lips                 → lip
looking              → look
species              → specie
sent                 → send
bearing              → bear
features             → feature
perceiving           → perceive
fixed                → fix
eyes                 → eye
communicated         → communicate
died                 → die
giving               → give
placed               → place
better               → well
married              → marry
eldest               → eld
born                 → bear
nursed               → nurse
exerted              → exert
died                 → die
lingered             → linger
dungeons             → dungeon
known                → know
confiscated          → confiscate
continued            → continue
parents              → parent
bloomed              → bloom
fairer               → fair
rose                 → rise
leaved               → leave
brambles             → bramble
returned             → return
found                → find
playing              → play
fairer               → fair
pictured             → picture
looks                → look
motions              → motion
lighter              → light
hills                → hill
explained            → explain
prevailed            → prevail
guardians            → guardian
afforded             → afford
consulted            → consult
parents              → parent
adored               → adore
occupations          → occupation
pleasures            → pleasure
loved                → love
regarded             → regard
shared               → share
brought              → bring
said                 → say
presented            → present
promised             → promise
interpreted          → interpret
words                → word
looked               → look
praises              → praise
bestowed             → bestow
received             → receive
called               → call
stood                → stand
brought              → bring
ages                 → age
strangers            → stranger
species              → specie
subsisted            → subsist
characters           → character
drew                 → draw
calmer               → calm
busied               → busy
following            → follow
creations            → creation
poets                → poet
scenes               → scene
surrounded           → surround
shapes               → shape
mountains            → mountain
changes              → change
seasons              → season
tempest              → temp
summers              → summer
found                → find
contemplated         → contemplate
appearances          → appearance
things               → thing
delighted            → delight
investigating        → investigate
causes               → cause
desired              → desire
laws                 → law
unfolded             → unfold
earliest             → early
sensations           → sensation
years                → year
parents              → parent
gave                 → give
fixed                → fix
possessed            → possess
resided              → reside
lives                → life
parents              → parent
passed               → pass
fellows              → fellow
united               → unite
bonds                → bond
closest              → close
loved                → love
books                → book
composed             → compose
songs                → song
began                → begin
tried                → try
plays                → play
masquerades          → masquerade
characters           → character
drawn                → draw
heroes               → hero
hands                → hand
infidels             → infidel
passed               → pass
happier              → happy
parents              → parent
possessed            → possess
felt                 → feel
tyrants              → tyrant
according            → accord
agents               → agent
creators             → creator
delights             → delight
enjoyed              → enjoy
mingled              → mingle
families             → family
discerned            → discern
assisted             → assist
passions             → passion
turned               → turn
pursuits             → pursuit
things               → thing
languages            → language
governments          → government
politics             → politic
states               → state
possessed            → possess
attractions          → attraction
secrets              → secret
desired              → desire
things               → thing
occupied             → occupy
inquiries            → inquiry
directed             → direct
highest              → high
secrets              → secret
occupied             → occupy
relations            → relation
things               → thing
virtues              → virtue
heroes               → hero
actions              → action
men                  → man
names                → name
recorded             → record
benefactors          → benefactor
species              → specie
shone                → shine
dedicated            → dedicate
eyes                 → eye
living               → live
unfolded             → unfold
soaring              → soar
recollections        → recollection
tainted              → taint
changed              → change
visions              → vision
reflections          → reflection
drawing              → draw
days                 → day
events               → event
led                  → lead
steps                → step
ruled                → rule
forgotten            → forget
sources              → source
swelling             → swell
proceeded            → proceed
swept                → sweep
hopes                → hope
joys                 → joy
regulated            → regulate
facts                → fact
led                  → lead
years                → year
went                 → go
baths                → bath
obliged              → oblige
confined             → confine
chanced              → chance
works                → work
opened               → open
attempts             → attempt
facts                → fact
relates              → relate
changed              → change
bounding             → bound
communicated         → communicate
looked               → look
said                 → say
taken                → take
pains                → pain
principles           → principle
exploded             → explode
introduced           → introduce
possessed            → possess
greater              → great
powers               → power
powers               → power
circumstances        → circumstance
thrown               → throw
contented            → content
warmed               → warm
returning            → return
greater              → great
studies              → study
ideas                → idea
received             → receive
led                  → lead
taken                → take
means                → mean
assured              → assure
acquainted           → acquaint
contents             → content
continued            → continue
greatest             → great
returned             → return
works                → work
studied              → study
fancies              → fancy
writers              → writer
appeared             → appear
treasures            → treasure
known                → know
described            → describe
imbued               → imbue
secrets              → secret
discoveries          → discovery
philosophers         → philosopher
came                 → come
studies              → study
discontented         → discontent
unsatisfied          → unsatisfie
said                 → say
avowed               → avow
felt                 → feel
picking              → pick
shells               → shell
successors           → successor
acquainted           → acquaint
appeared             → appear
apprehensions        → apprehension
tyros                → tiro
engaged              → engage
elements             → element
acquainted           → acquaint
uses                 → use
knew                 → know
unveiled             → unveil
lineaments           → lineament
names                → name
causes               → cause
grades               → grade
gazed                → gaze
fortifications       → fortification
impediments          → impediment
beings               → being
entering             → enter
repined              → repine
books                → book
men                  → man
penetrated           → penetrate
deeper               → deeply
knew                 → know
took                 → take
averred              → aver
followed             → follow
schools              → school
taught               → teach
studies              → study
left                 → leave
added                → add
preceptors           → preceptor
entered              → enter
greatest             → great
obtained             → obtain
visions              → vision
ghosts               → ghost
devils               → devil
accorded             → accord
authors              → author
sought               → seek
incantations         → incantation
attributed           → attribute
instructors          → instructor
occupied             → occupy
systems              → system
theories             → theory
floundering          → flounder
guided               → guide
changed              → change
ideas                → idea
years                → year
retired              → retire
witnessed            → witness
advanced             → advance
mountains            → mountain
quarters             → quarter
heavens              → heaven
remained             → remain
lasted               → last
watching             → watch
stood                → stand
stood                → stand
yards                → yard
dazzling             → dazzle
vanished             → vanish
disappeared          → disappear
remained             → remain
blasted              → blast
visited              → visit
found                → find
shattered            → shatter
splintered           → splinter
reduced              → reduce
ribbons              → ribbon
beheld               → behold
destroyed            → destroy
laws                 → law
excited              → excite
entered              → enter
formed               → form
said                 → say
threw                → throw
lords                → lord
men                  → man
disinclined          → disincline
studies              → study
known                → know
engaged              → engage
grew                 → grow
caprices             → caprice
gave                 → give
occupations          → occupation
deformed             → deform
entertained          → entertain
greatest             → great
mathematics          → mathematic
branches             → branch
appertaining         → appertain
built                → build
foundations          → foundation
souls                → soul
constructed          → construct
ligaments            → ligament
bound                → bind
hanging              → hang
stars                → star
announced            → announce
followed             → follow
studies              → study
taught               → teach
laws                 → law
decreed              → decree
attained             → attain
parents              → parent
resolved             → resolve
attended             → attend
schools              → school
thought              → think
acquainted           → acquaint
customs              → custom
fixed                → fix
resolved             → resolve
occurred             → occur
omen                 → oman
caught               → catch
greatest             → great
arguments            → argument
urged                → urge
attending            → attend
yielded              → yield
entreaties           → entreaty
heard                → hear
menaced              → menace
longer               → long
attended             → attend
sickbed              → sickbe
attentions           → attention
triumphed            → triumph
saved                → save
consequences         → consequence
sickened             → sicken
accompanied          → accompany
symptoms             → symptom
looks                → look
attendants           → attendant
prognosticated       → prognosticate
worst                → bad
deathbed             → deathbe
best                 → good
women                → woman
joined               → join
hands                → hand
children             → child
said                 → say
firmest              → firm
hopes                → hope
placed               → place
younger              → young
children             → child
taken                → take
beloved              → belove
thoughts             → thought
befitting            → befit
meeting              → meet
died                 → die
expressed            → express
feelings             → feeling
ties                 → tie
presents             → present
exhibited            → exhibit
saw                  → see
appeared             → appear
departed             → depart
extinguished         → extinguish
hushed               → hush
heard                → hear
reflections          → reflection
days                 → day
proves               → prove
commences            → commence
felt                 → feel
arrives              → arrive
plays                → play
lips                 → lip
deemed               → deem
banished             → banish
duties               → duty
remains              → remain
seized               → seize
deferred             → defer
events               → event
determined           → determine
obtained             → obtain
weeks                → week
appeared             → appear
remained             → remain
desired              → desire
consoled             → console
veiled               → veil
looked               → look
assumed              → assume
duties               → duty
devoted              → devote
taught               → teach
cousins              → cousin
recalled             → recall
smiles               → smile
spent                → spend
forgot               → forget
endeavours           → endeavour
arrived              → arrive
spent                → spend
endeavoured          → endeavour
saw                  → see
aspirations          → aspiration
felt                 → feel
debarred             → debar
said                 → say
spoke                → speak
animated             → animate
chained              → chain
details              → detail
sat                  → sit
said                 → say
retired              → retire
seeking              → seek
fancying             → fancy
deceived             → deceive
descended            → descend
entreaties           → entreaty
attentions           → attention
threw                → throw
indulged             → indulge
reflections          → reflection
surrounded           → surround
companions           → companion
engaged              → engage
endeavouring         → endeavour
going                → go
friends              → friend
secluded             → seclude
given                → give
countenances         → countenance
loved                → love
brothers             → brother
faces                → face
believed             → believe
unfitted             → unfit
strangers            → stranger
reflections          → reflection
commenced            → commence
proceeded            → proceed
spirits              → spirit
hopes                → hope
rose                 → rise
desired              → desire
thought              → think
cooped               → coope
longed               → long
beings               → being
desires              → desire
complied             → comply
reflections          → reflection
met                  → meet
eyes                 → eye
alighted             → alight
conducted            → conduct
pleased              → please
delivered            → deliver
letters              → letter
paid                 → pay
professors           → professor
asserted             → assert
turned               → turn
steps                → step
led                  → lead
imbued               → imbue
secrets              → secret
asked                → ask
questions            → question
concerning           → concern
branches             → branch
replied              → reply
mentioned            → mention
names                → name
alchemists           → alchemist
authors              → author
studied              → study
stared               → stare
said                 → say
spent                → spend
studying             → study
replied              → reply
continued            → continue
wasted               → waste
books                → book
lost                 → lose
burdened             → burden
systems              → system
names                → name
lived                → live
fancies              → fancy
imbibed              → imbibe
years                → year
expected             → expect
enlightened          → enlighten
studies              → study
saying               → say
stepped              → step
wrote                → write
books                → book
desired              → desire
dismissed            → dismiss
mentioning           → mention
following            → follow
intended             → intend
lectures             → lecture
relations            → relation
days                 → day
omitted              → omit
returned             → return
disappointed         → disappoint
said                 → say
considered           → consider
authors              → author
reprobated           → reprobate
returned             → return
studies              → study
pursuits             → pursuit
connected            → connect
given                → give
conclusions          → conclusion
concerning           → concern
years                → year
results              → result
promised             → promise
professors           → professor
ideas                → idea
accounted            → account
matters              → matter
steps                → step
paths                → path
exchanged            → exchange
